EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000168398,77.09441885,11.38104487,142.8077928,3.670238031,0.834737278,4.396878066,1.10E-05,0.114476246
ENSG00000204682,697.518602,235.9924725,1159.044732,2.296287618,0.613210003,3.744700193,0.000180609,0.540156122
ENSG00000004799,685.7957537,247.169656,1124.421851,2.185532304,0.85581944,2.553730615,0.010657568,0.99964765
ENSG00000005001,100.0353664,35.42983862,164.6408942,2.217077045,0.643646541,3.444556763,0.000571997,0.99964765
ENSG00000006210,535.8089755,200.055722,871.5622291,2.124643502,1.073143314,1.979832027,0.047722406,0.99964765
ENSG00000018625,23.4357894,7.856435972,39.01514282,2.327123743,1.08506406,2.144687885,0.03197781,0.99964765
ENSG00000039068,106.7769845,26.98193027,186.5720386,2.785037747,1.266119954,2.199663419,0.027830784,0.99964765
ENSG00000047346,494.9352003,293.053564,696.8168366,1.250136196,0.568708772,2.198201007,0.027934785,0.99964765
ENSG00000049283,38.35884019,12.03239591,64.68528446,2.42548262,0.828191546,2.928649336,0.003404383,0.99964765
ENSG00000057657,138.6353248,64.86541958,212.40523,1.70944095,0.658149665,2.597343798,0.009394784,0.99964765
ENSG00000060566,69.84067465,18.63001039,121.0513389,2.692160035,0.961969164,2.79859286,0.005132581,0.99964765
ENSG00000061656,311.1287683,162.7390233,459.5185134,1.496965985,0.646713753,2.31472731,0.02062786,0.99964765
ENSG00000079215,402.3453973,188.2303882,616.4604065,1.710945921,0.849169797,2.014845473,0.043920843,0.99964765
ENSG00000079257,395.8153273,204.259108,587.3715467,1.524287013,0.599824091,2.541223394,0.011046531,0.99964765
ENSG00000084731,1248.589254,766.1652323,1731.013275,1.175885916,0.540639112,2.174992319,0.029630692,0.99964765
ENSG00000084764,710.0203602,392.9735521,1027.067168,1.386861259,0.674455864,2.056266886,0.039756798,0.99964765
ENSG00000090238,360.2560778,168.8132713,551.6988843,1.709068908,0.565415297,3.022678934,0.002505479,0.99964765
ENSG00000091536,14.64698114,4.47169613,24.82226615,2.498876166,1.266735123,1.972690361,0.048530851,0.99964765
ENSG00000099260,18.73097362,2.981130753,34.48081649,3.570446949,1.204377169,2.964558812,0.003031173,0.99964765
ENSG00000099953,141.2328135,48.59307142,233.8725555,2.263776862,1.027181153,2.203873051,0.027533273,0.99964765
ENSG00000100346,23.99676972,4.47169613,43.5218433,3.308872967,1.190698196,2.778935064,0.005453743,0.99964765
ENSG00000100439,1579.715778,892.4030022,2267.028553,1.344855757,0.639278902,2.1037074,0.035403979,0.99964765
ENSG00000103196,782.5814629,327.6400747,1237.522851,1.917218771,0.800307318,2.395603199,0.016593042,0.99964765
ENSG00000104081,238.2562047,32.22884843,444.2835609,3.781492145,1.414461176,2.673450647,0.007507532,0.99964765
ENSG00000105204,504.1532395,220.5789939,787.727485,1.835564111,0.929247743,1.975322647,0.048231545,0.99964765
ENSG00000105246,124.5218442,71.17141151,177.8722769,1.323656142,0.621595113,2.12945069,0.03321699,0.99964765
ENSG00000105516,237.8862374,85.87320391,389.8992708,2.182791733,0.88777503,2.458721702,0.013943266,0.99964765
ENSG00000105711,314.3691853,87.25178275,541.4865879,2.632674174,1.108877961,2.374178464,0.017588047,0.99964765
ENSG00000106302,92.05310704,27.07791874,157.0282953,2.542561182,0.766486955,3.317161713,0.00090937,0.99964765
ENSG00000106538,460.6042961,162.6229231,758.5856692,2.220889535,1.118936007,1.984822655,0.047164206,0.99964765
ENSG00000107282,129.9313394,62.79937991,197.0632989,1.646933587,0.789010769,2.087339806,0.036857429,0.99964765
ENSG00000107968,464.5707128,266.1232851,663.0181405,1.316488838,0.518804936,2.537541081,0.011163427,0.99964765
ENSG00000108759,5.385316887,0,10.77063377,5.964625516,2.688114864,2.218887889,0.026494353,0.99964765
ENSG00000110195,192.1372016,75.89496323,308.37944,2.026357494,0.828280981,2.446461455,0.014426622,0.99964765
ENSG00000112599,38.16534824,13.78670132,62.54399515,2.178766134,1.094163535,1.991261877,0.046452104,0.99964765
ENSG00000113742,2457.121199,1456.086744,3458.155654,1.247730884,0.580630698,2.148923382,0.031640474,0.99964765
ENSG00000114626,462.0750317,234.1901729,689.9598905,1.558770866,0.580858292,2.683564801,0.007284186,0.99964765
ENSG00000114739,1045.395968,497.3241,1593.467835,1.679497524,0.587878967,2.85687636,0.004278325,0.99964765
ENSG00000114796,846.7441349,436.2995937,1257.188676,1.527443555,0.546600075,2.794444466,0.005198897,0.99964765
ENSG00000115474,6.535672365,0.543478144,12.52786659,4.689513392,2.186026209,2.145222858,0.031935033,0.99964765
ENSG00000115590,10.21088321,1.894174465,18.52759195,3.302551641,1.417958141,2.329089657,0.019854316,0.99964765
ENSG00000115594,740.2949221,267.3857638,1213.20408,2.181178377,0.979082872,2.227777075,0.025895384,0.99964765
ENSG00000116017,407.3368459,261.5798259,553.093866,1.080815446,0.516604983,2.092150639,0.036425042,0.99964765
ENSG00000116774,67.51633284,10.58982477,124.4428409,3.570488522,1.420135007,2.514189499,0.011930631,0.99964765
ENSG00000116885,131.4986086,67.42694317,195.570274,1.534493369,0.769030724,1.99536029,0.046003599,0.99964765
ENSG00000117016,284.1195925,174.8834057,393.3557794,1.169958059,0.541976949,2.158686013,0.030874535,0.99964765
ENSG00000119699,165.482778,80.28255534,250.6830007,1.641573159,0.736530604,2.228791514,0.02582778,0.99964765
ENSG00000119862,606.2391962,390.5116741,821.9667183,1.074350366,0.537943653,1.997142934,0.045809658,0.99964765
ENSG00000119899,1467.103854,855.4469449,2078.760764,1.280876682,0.594180784,2.155701963,0.031106945,0.99964765
ENSG00000121858,408.4150796,216.6073518,600.2228073,1.471547846,0.748287009,1.966555385,0.049234491,0.99964765
ENSG00000122367,69.33196572,16.76783208,121.8960994,2.861748422,1.10373309,2.592790276,0.00952008,0.99964765
ENSG00000124171,2240.933333,1097.662675,3384.203991,1.624557796,0.701523642,2.315756303,0.020571578,0.99964765
ENSG00000124766,1009.099612,599.4545669,1418.744658,1.24332419,0.621648843,2.000042634,0.04549566,0.99964765
ENSG00000127129,379.1803006,36.99628075,721.3643205,4.284009815,1.597659047,2.681429322,0.00733084,0.99964765
ENSG00000129422,1639.245473,1081.645383,2196.845563,1.022350305,0.506323844,2.019162869,0.043470294,0.99964765
ENSG00000129521,613.6791682,305.5535613,921.8047751,1.593376452,0.714831598,2.22902353,0.025812339,0.99964765
ENSG00000133056,708.3941252,169.6963662,1247.091884,2.877502237,0.94831939,3.034317623,0.002410805,0.99964765
ENSG00000133519,43.38353183,16.92369921,69.84336444,2.053754184,0.952726254,2.155660324,0.031110198,0.99964765
ENSG00000134215,5.210216618,0,10.42043324,5.918814392,2.642567521,2.239796843,0.025104115,0.99964765
ENSG00000135083,2363.43191,1291.314134,3435.549685,1.411594015,0.712170145,1.982102204,0.047467803,0.99964765
ENSG00000135218,13.11714791,2.173912576,24.06038325,3.525497584,1.779440494,1.981239381,0.047564435,0.99964765
ENSG00000136367,96.5928406,36.71654264,156.4691386,2.085666585,0.830918939,2.510072268,0.012070646,0.99964765
ENSG00000136514,99.37562092,45.97166916,152.7795727,1.732087412,0.801168849,2.161950522,0.03062199,0.99964765
ENSG00000137103,310.7493449,122.5778621,498.9208278,2.026175789,0.617804671,3.279638183,0.001039403,0.99964765
ENSG00000137501,559.5803326,346.0182294,773.1424357,1.159620286,0.496117348,2.337391124,0.019418856,0.99964765
ENSG00000138336,216.8206647,67.72267936,365.91865,2.433303636,1.084817925,2.243052571,0.024893425,0.99964765
ENSG00000139112,735.3267241,425.7015416,1044.951907,1.295602443,0.519482044,2.494027386,0.01263028,0.99964765
ENSG00000139182,1008.230532,527.1998563,1489.261207,1.49855073,0.509135194,2.943325759,0.003247065,0.99964765
ENSG00000139209,1113.983714,637.9455267,1590.021901,1.318066225,0.599244359,2.199547157,0.02783904,0.99964765
ENSG00000139636,872.4090838,339.600251,1405.217917,2.048294825,0.65520376,3.12619516,0.00177084,0.99964765
ENSG00000140795,12.7539159,3.788348931,21.71948288,2.530292925,1.253086173,2.019248939,0.043461352,0.99964765
ENSG00000142583,6.878341765,0,13.75668353,6.318617149,2.432242833,2.59785621,0.009380777,0.99964765
ENSG00000143001,15.48328886,4.331827075,26.63475065,2.634638038,1.184618045,2.224040103,0.026145746,0.99964765
ENSG00000143434,140.6873105,78.18863315,203.1859879,1.378705551,0.649796338,2.121750262,0.033858715,0.99964765
ENSG00000143878,3676.962047,1598.777411,5755.146682,1.847767874,0.556631379,3.319553913,0.000901614,0.99964765
ENSG00000146278,670.3635805,341.039165,999.6879961,1.551574428,0.563486454,2.753525691,0.005895714,0.99964765
ENSG00000146411,239.5258089,81.40973506,397.6418827,2.291245979,1.138866429,2.011865413,0.044234126,0.99964765
ENSG00000147912,281.8247172,142.7464321,420.9030024,1.561459373,0.558495435,2.795831936,0.005176631,0.99964765
ENSG00000148541,95.66516583,37.64763179,153.6826999,2.024512746,1.017566885,1.989562332,0.046639169,0.99964765
ENSG00000148735,92.28961308,5.650527242,178.9286989,4.97011743,2.208476614,2.250473199,0.024418923,0.99964765
ENSG00000149577,1542.901082,811.6213058,2274.180858,1.486421742,0.555721985,2.674757851,0.007478324,0.99964765
ENSG00000150764,394.3912336,218.8050333,569.9774339,1.381243766,0.64677039,2.135601426,0.032711915,0.99964765
ENSG00000151702,5.882991846,0,11.76598369,6.092499854,2.580919996,2.360592294,0.018245778,0.99964765
ENSG00000152076,79.8111957,37.58775312,122.0346383,1.700057352,0.778167734,2.184692681,0.028911387,0.99964765
ENSG00000152256,914.4788787,575.9446812,1253.013076,1.121412759,0.556922365,2.013589019,0.0440527,0.99964765
ENSG00000153234,102.7359354,36.920404,168.5514668,2.190785313,0.909792069,2.408006608,0.016039891,0.99964765
ENSG00000153294,143.2720039,46.85887772,239.68513,2.35989116,0.746138147,3.162807277,0.001562557,0.99964765
ENSG00000153904,8323.31868,5156.090078,11490.54728,1.156135637,0.494360006,2.338651232,0.019353491,0.99964765
ENSG00000153982,197.4941284,70.77191606,324.2163407,2.199721162,0.939079978,2.342421535,0.019159062,0.99964765
ENSG00000154265,475.6208028,317.2819938,633.9596119,0.998485105,0.497296665,2.00782586,0.0446618,0.99964765
ENSG00000155324,1006.321918,526.2162028,1486.427633,1.497770402,0.675262721,2.218055811,0.026551027,0.99964765
ENSG00000157873,404.271852,250.3505345,558.1931695,1.156455453,0.567319837,2.038454109,0.04150454,0.99964765
ENSG00000158109,1506.625305,840.8370273,2172.413583,1.369328424,0.480173258,2.851738202,0.004348089,0.99964765
ENSG00000158373,529.9002301,189.6016527,870.1988076,2.19994205,0.971195476,2.265189764,0.023501037,0.99964765
ENSG00000159337,27.44800958,10.26209243,44.63392673,2.110286118,1.050254854,2.009308608,0.044504416,0.99964765
ENSG00000160050,174.0982104,92.50281454,255.6936063,1.467046286,0.640631915,2.289998753,0.022021389,0.99964765
ENSG00000161638,7891.273663,4902.734193,10879.81313,1.14996354,0.584054773,1.968930985,0.048961017,0.99964765
ENSG00000162267,5.766258334,0,11.53251667,6.064737399,2.554447202,2.374187806,0.017587602,0.99964765
ENSG00000162407,861.9103479,468.4324536,1255.388242,1.422553753,0.504980261,2.817048235,0.004846725,0.99964765
ENSG00000162426,91.45445686,45.60005623,137.3088575,1.594067249,0.663266066,2.403360175,0.016245178,0.99964765
ENSG00000162643,4.712541659,0,9.425083318,5.773675584,2.719210362,2.123291256,0.033729453,0.99964765
ENSG00000162645,2401.130073,765.7803655,4036.479781,2.397820796,0.890883793,2.691507931,0.007112981,0.99964765
ENSG00000162654,505.987075,177.7882032,834.1859468,2.229193652,1.105146872,2.017101716,0.0436849,0.99964765
ENSG00000163219,42.36202514,18.39826651,66.32578376,1.854261734,0.770757179,2.405766412,0.01613858,0.99964765
ENSG00000163346,975.4151219,477.7195763,1473.110667,1.624898134,0.594502334,2.733207325,0.006272084,0.99964765
ENSG00000163624,347.8984722,160.5769951,535.2199492,1.735762038,0.817393012,2.123534226,0.033709111,0.99964765
ENSG00000164093,154.648017,84.8022457,224.4937884,1.404975707,0.637199472,2.204922898,0.027459505,0.99964765
ENSG00000164465,2776.559726,1747.003418,3806.116033,1.123436854,0.508679837,2.208534274,0.027207051,0.99964765
ENSG00000164530,7.837992569,0.807218177,14.86876696,4.104560388,1.931319735,2.125261972,0.03356476,0.99964765
ENSG00000164938,293.6962367,129.7907178,457.6017556,1.815906135,0.599796305,3.027538047,0.002465547,0.99964765
ENSG00000166046,128.6690873,35.28996957,222.048205,2.653193747,1.004977813,2.64005206,0.008289329,0.99964765
ENSG00000166106,3272.399417,1451.856845,5092.941989,1.810645948,0.809971991,2.235442666,0.025388302,0.99964765
ENSG00000166145,880.9404846,314.7085857,1447.172383,2.20118771,0.780708629,2.819474038,0.004810242,0.99964765
ENSG00000166444,1866.628899,1185.325381,2547.932417,1.104129156,0.531818203,2.076140209,0.037880985,0.99964765
ENSG00000166448,6.614133831,0,13.22826766,6.260694485,2.8583099,2.190348389,0.02849898,0.99964765
ENSG00000166578,128.5861297,71.54302444,185.629235,1.376394794,0.587986572,2.34086093,0.019239332,0.99964765
ENSG00000166924,160.8981539,67.74279107,254.0535167,1.910743137,0.88303532,2.16383546,0.03047698,0.99964765
ENSG00000166963,88.19162845,38.41096938,137.9722875,1.845464187,0.74689382,2.470852131,0.013479154,0.99964765
ENSG00000167100,35.31404961,14.31418139,56.31391782,1.966728863,0.882908627,2.227556513,0.025910103,0.99964765
ENSG00000167123,1287.289529,841.6762417,1732.902817,1.041766931,0.508977571,2.046783571,0.040679339,0.99964765
ENSG00000168874,886.9331648,347.3456134,1426.520716,2.039083101,0.693604662,2.939834767,0.003283873,0.99964765
ENSG00000170373,116.3313661,35.1939811,197.4687511,2.481847405,1.025838175,2.419336174,0.015548863,0.99964765
ENSG00000170412,2319.184462,880.2302808,3758.138644,2.09389775,0.904582488,2.314767063,0.020625683,0.99964765
ENSG00000170464,511.3957059,338.6495066,684.1419052,1.014895433,0.515394919,1.969160727,0.048934637,0.99964765
ENSG00000170703,39.01545642,19.34535374,58.6855591,1.604484908,0.795622836,2.016640089,0.043733086,0.99964765
ENSG00000171051,31.27792489,4.315828998,58.24002078,3.732555783,1.449691452,2.574724283,0.010032002,0.99964765
ENSG00000171115,16.74847294,0.807218177,32.68972771,5.260048767,2.233198179,2.355388257,0.018503361,0.99964765
ENSG00000171450,97.60454844,35.11810436,160.0909925,2.185637904,1.004963177,2.174843769,0.029641826,0.99964765
ENSG00000171992,2430.402833,1214.919573,3645.886092,1.585218366,0.576203111,2.7511451,0.005938733,0.99964765
ENSG00000172403,124.0656079,19.56109955,228.5701162,3.54004852,1.227287823,2.884448499,0.003920999,0.99964765
ENSG00000172986,505.5849403,266.5031253,744.6667553,1.482600142,0.743410127,1.994323304,0.046116734,0.99964765
ENSG00000173281,908.9552326,379.1946216,1438.715844,1.924244619,0.625232638,3.077645827,0.002086427,0.99964765
ENSG00000173801,3528.71442,1329.30047,5728.128369,2.107272065,0.929338444,2.267496927,0.023359886,0.99964765
ENSG00000174307,503.874103,273.7598616,733.9883443,1.422313277,0.714003911,1.99202449,0.046368371,0.99964765
ENSG00000175155,164.0653233,68.76575505,259.3648915,1.918948876,0.63819924,3.006817865,0.002639979,0.99964765
ENSG00000176697,2342.739594,1328.923825,3356.555363,1.336972833,0.577908767,2.31346695,0.02069698,0.99964765
ENSG00000177076,87.55582254,50.56723627,124.5444088,1.300569041,0.618568234,2.102547412,0.035505351,0.99964765
ENSG00000177138,29.32853793,5.682523396,52.97455247,3.22695522,1.121058464,2.87848968,0.003995844,0.99964765
ENSG00000177692,35.9817128,13.53895937,58.42446623,2.120855843,0.875104646,2.423545405,0.015369832,0.99964765
ENSG00000178662,53.299987,27.04592258,79.55405142,1.557020821,0.737259953,2.111902072,0.03469485,0.99964765
ENSG00000179841,333.9450996,187.6471431,480.2430561,1.356837186,0.552782289,2.454559803,0.01410572,0.99964765
ENSG00000180758,1168.919867,513.9593773,1823.880358,1.826762419,0.892938369,2.045787797,0.040777253,0.99964765
ENSG00000181444,121.7767201,60.38183901,183.1716012,1.605091642,0.67541136,2.376465272,0.017479407,0.99964765
ENSG00000183346,7.053442034,0,14.10688407,6.35373116,2.560102735,2.481826636,0.013071085,0.99964765
ENSG00000183347,20.69913171,0.807218177,40.59104524,5.596125376,2.781788078,2.011700826,0.044251483,0.99964765
ENSG00000184481,237.6971776,126.9736815,348.4206737,1.457954813,0.65879179,2.213073742,0.026892562,0.99964765
ENSG00000185630,2111.617759,433.5177542,3789.717765,3.127823201,1.105742356,2.828708862,0.004673619,0.99964765
ENSG00000186188,51.33200819,15.15339572,87.51062065,2.532861572,0.963712126,2.628234618,0.00858293,0.99964765
ENSG00000186469,690.4375178,389.4809394,991.3940962,1.348798518,0.650092673,2.074778833,0.038007037,0.99964765
ENSG00000187323,5.035116349,0,10.0702327,5.870981488,2.962558234,1.981726948,0.047509809,0.99964765
ENSG00000188305,12.66726774,0.807218177,24.5273173,4.811938166,1.738418073,2.76799824,0.005640176,0.99964765
ENSG00000189195,239.8631398,111.7242973,368.0019823,1.720433345,0.597791974,2.877979997,0.004002305,0.99964765
ENSG00000196220,140.8353263,46.0836557,235.5869969,2.359877175,0.860357633,2.742902584,0.006089875,0.99964765
ENSG00000197653,25.93364064,9.718614284,42.148667,2.102508204,0.96645932,2.175475119,0.029594531,0.99964765
ENSG00000198246,707.4550733,342.7335917,1072.176555,1.64568494,0.519400432,3.168431983,0.001532636,0.99964765
ENSG00000198520,16.48242186,1.614436355,31.35040737,4.206412175,1.645272371,2.556666148,0.010568059,0.99964765
ENSG00000198743,7161.972419,3360.460674,10963.48416,1.706056073,0.852480632,2.001284263,0.045361765,0.99964765
ENSG00000198774,131.6898268,66.51596573,196.8636878,1.569114504,0.793618024,1.977165913,0.048022879,0.99964765
ENSG00000198933,336.6424584,178.0843959,495.200521,1.476254317,0.648286808,2.277162359,0.022776532,0.99964765
ENSG00000203780,53.10694335,25.69522626,80.51866043,1.648297279,0.783472575,2.103835325,0.035392814,0.99964765
ENSG00000204131,1022.817475,263.864812,1781.770138,2.754822359,1.350418405,2.039976906,0.041352626,0.99964765
ENSG00000204396,44.38011687,18.66200654,70.0982272,1.909493994,0.854060269,2.235783661,0.025365946,0.99964765
ENSG00000204616,12.5986764,3.50861082,21.68874197,2.603286453,1.275629034,2.040786455,0.041272058,0.99964765
ENSG00000204618,203.055387,43.09841131,363.0123628,3.073324456,1.358245007,2.262717286,0.023653123,0.99964765
ENSG00000205129,6.804604555,0,13.60920911,6.301807324,2.620090447,2.405186939,0.016164195,0.99964765
ENSG00000205436,50.62260638,17.38718697,83.85802579,2.255999522,1.018596497,2.214811782,0.026772986,0.99964765
ENSG00000206561,9.639471036,1.894174465,17.38476761,3.20621734,1.60365947,1.999313071,0.045574491,0.99964765
ENSG00000213420,43.59495294,17.17144117,70.01846471,2.02936005,0.877961441,2.31144553,0.020808259,0.99964765
ENSG00000213626,212.2098339,50.33549239,374.0841755,2.894554809,1.093599679,2.646813879,0.008125406,0.99964765
ENSG00000214922,50.94461815,24.06479183,77.82444446,1.6919226,0.856209789,1.976060798,0.048147892,0.99964765
ENSG00000215246,10.7580702,1.086956288,20.42918412,4.325062085,1.898045835,2.278692119,0.022685374,0.99964765
ENSG00000223382,17.86199339,5.402785286,30.32120149,2.477564051,1.251518728,1.979646006,0.04774332,0.99964765
ENSG00000223820,5.093483105,0,10.18696621,5.887296243,2.787475016,2.112053457,0.034681864,0.99964765
ENSG00000224897,46.25203816,16.61196495,75.89211138,2.184739158,0.941964613,2.319343134,0.020376438,0.99964765
ENSG00000230092,8.514804431,0.403609089,16.62599977,5.184322058,2.062138424,2.514051431,0.011935303,0.99964765
ENSG00000233871,39.63191701,12.46800116,66.79583287,2.438655199,0.959960382,2.540370671,0.011073504,0.99964765
ENSG00000235863,98.93237043,43.87774697,153.9869939,1.816658611,0.745462462,2.436955185,0.014811515,0.99964765
ENSG00000237595,12.86784253,2.701392643,23.03429243,3.075828556,1.33033018,2.312079063,0.020773327,0.99964765
ENSG00000241081,16.59041409,5.139045252,28.04178293,2.452623925,1.10749814,2.214562568,0.026790104,0.99964765
ENSG00000242258,49.30435274,6.597614475,92.01109102,3.785436444,1.784278072,2.121550728,0.033875484,0.99964765
ENSG00000247095,87.8627394,46.32728402,129.3981948,1.477907509,0.731263576,2.021032575,0.043276393,0.99964765
ENSG00000248409,7.11336632,0,14.22673264,6.369128867,2.576158308,2.472335977,0.01342333,0.99964765
ENSG00000250091,46.08609954,7.033219718,85.13897937,3.600259097,1.071376185,3.360406127,0.00077828,0.99964765
ENSG00000250282,11.61883705,1.490565377,21.74710873,3.913586513,1.487076612,2.631731602,0.008495094,0.99964765
ENSG00000250510,66.52925761,34.09514038,98.96337483,1.541255528,0.688766778,2.237703062,0.025240425,0.99964765
ENSG00000253395,16.46987789,5.278914308,27.66084148,2.403952632,1.110001779,2.165719621,0.030332619,0.99964765
ENSG00000261183,7.925542704,0.807218177,15.04386723,4.124256737,1.982053756,2.080799638,0.037452249,0.99964765
ENSG00000267060,69.30138578,26.62631542,111.9764561,2.070332718,0.994629052,2.081512412,0.037387029,0.99964765
ENSG00000267534,115.4394511,65.30102483,165.5778773,1.341936564,0.609169094,2.202896664,0.027602033,0.99964765
ENSG00000267750,50.92340883,18.27439553,83.57242213,2.200574708,0.937062382,2.348375893,0.018855482,0.99964765
ENSG00000272049,5.019745895,0,10.03949179,5.864228631,2.668843187,2.197292318,0.027999576,0.99964765
ENSG00000273301,192.6516849,77.43718,307.8661898,1.988235574,0.944790483,2.104419562,0.035341865,0.99964765
ENSG00000274173,5.752445409,0,11.50489082,6.062991479,3.0645567,1.978423658,0.047880933,0.99964765
ENSG00000277287,18.16236833,4.068087041,32.25664963,3.023902551,1.255883792,2.4077885,0.016049476,0.99964765
ENSG00000278727,16.66910951,4.331827075,29.00639194,2.76004397,1.128136215,2.44655205,0.014422997,0.99964765
ENSG00000278817,7.285987487,0.403609089,14.16836588,4.960963181,2.317902395,2.140281312,0.032332039,0.99964765
ENSG00000279103,4.595808146,0,9.191616292,5.738889896,2.847758715,2.015230386,0.043880515,0.99964765
ENSG00000279283,7.376016724,0,14.75203345,6.419648463,2.378968953,2.698500312,0.006965267,0.99964765
ENSG00000279407,92.59486152,32.88019947,152.3095236,2.204566979,1.117211161,1.973276903,0.048464023,0.99964765
ENSG00000284691,60.63626798,28.25674985,93.01578611,1.717883356,0.785549255,2.186856324,0.028753014,0.99964765
ENSG00000285210,5.5020504,0,11.0041008,5.99497615,2.940759002,2.038581246,0.041491839,0.99964765
